,0
0,"Алматыдағы концертте басы дауға қалған әнші Shiza - Асхат Жолшиев жасаған әрекеті үшін рэп арқылы кешірім сұрады, - деп хабарлайды Tengrinews.kz"
1,"Кеше, 2 маусымда Шымкентте оқушылар арасында өткен ""Шымкент жастар лигасы"" атты спорттық жарыс мәресіне жетті. Айтулы жарыс спорттың төрт түрі,"
2,Ақтаулық дзюдошы Айбек Имашев өздерін арнайы операция жүргізіп жатқан тәртіп сақшысымын деп таныстырған алаяқтардың құрбаны болған. Бұл туралы
3,"1XBET компаниясы футболсүйер қауым үшін Қазақстанның төрт қаласында: Алматы, Ақтөбе, Ақтау және Қызылордада нағыз мереке ұйымдастырды, - деп"
4,"Сенаторлар мәдени-бұқаралық іс-шараларды өткізу жөніндегі талаптарға ""Ирина Кайратовна"" мен Shiza-ның концерттеріндегі оқиғадан кейін халықтың"
5,"ҚР премьер-министрі Әлихан Смайыловтың төрағалығымен өткен Үкімет отырысында отандық туризм мен ұлттық парктерді дамыту мәселелері қаралды,"
6,"Бас прокуратура 2022 жылдың қаңтарында Алматыда болған оқиғалардың хронологиясын жасады, - деп хабарлайды Tengrinews.kz тілшісі."
7,Мәдениет және спорт министрі Дәурен Абаев сахнаға мас күйде шыққан әртістер мәселесімен министрлік мамандары айналысып жатқанын айтты. Абаевтың
8,"Президент Қасым-Жомарт Тоқаев Халықаралық балаларды қорғау күніне орай ""Алматы БалаFEST"" қалалық балалар фестивалінің қорытынды іс-шарасына"
9,Кейінгі кезде әншілердің концерттерінде түрлі оқиға болып жүр. Әлеуметтік желілерде бұл жағдайлар қызу талқыланып жатыр. Tengrinews.kz
10,"Алматыда 1XBET компаниясының қолдауымен Almaty Major Fest өтті, - деп хабарлайды Tengrinews.kz тілшісі."
11,"Орал тұрғыны көпірден суға секіріп, аман қалды. Ол ""Динамо"" спорт базасы маңындағы көпірден суға секіріп кеткен, - деп хабарлайды ""Мой ГОРОД""."
12,"Мемлекет басшысы Қасым-Жомарт Тоқаев Халықаралық балаларды қорғау күнімен құттықтады, - деп хабарлайды Tengrinews.kz тілшісі Ақорда сайтына"
13,Ұлыбританиялық MMA Sport спорт порталының тілшісі Бен Смит Vesti.kz тілшісімен болған сұқбатында америкалық Джефф Молина (10-2) мен
14,"1 маусымда Халықаралық балаларды қорғау күні атап өтіледі. Астанада балалар мерекесіне орай 60-тан астам іс-шара өтеді, оның ішінде көрмелер,"
15,"Қызылорда облысында спорт саласындағы лауазымды тұлғалар сотталды, - деп хабарлайды Tengrinews.kz тілшісі Антикорға сілтеме жасап."
16,"""Ирина Кайратовна"" тобының мүшелері мен Shiza лақапатымен белгілі әнші Асхат Жолшиевтің әрекеті қоғамда әлі қызу талқыланып жатыр. Танымал өнер"
17,"Танымал продюсер Жан Мұқанов ""Ирина Кайратовна"" тобының мүшесі мен әнші Shiza-ны Алматыдағы концерттегі бейәдеп қылығы үшін біржола кешіруді"
18,"Жартылай ауыр салмақта WBA чемпионы Дмитрий Бивол (20-0, 11 KO) ""Спорт-Экспресс"" порталына берген сұхбатында Сауль ""Канело"" Альварес (57-2-2,"
19,"Қарағанды облысының Қарқаралы ауданына қарасты Бақты ауылының тұрғындары өз күшімен ішкі жолдардың барлығын жөндеп, елді мекенге кіре берістегі"
20,"Танымал актриса Дариға Бадықова сахнада ұятқа қалған ""Ирина Кайратовна"" тобының мүшелері мен Szhiza - Асхат Жолшиевті сынап тастады, - деп хабарлайды"
